user_id,item_id,rating
1,353,5.0
2,353,5.0
3,353,5.0
4,353,5.0
5,353,4.0
6,353,5.0
7,1044,5.0
7,1005,3.0
7,353,4.0
7,190,4.0
8,353,4.0
9,1633,5.0
10,1633,5.0
11,1633,4.0
12,1633,5.0
13,1633,5.0
14,1633,5.0
15,1633,5.0
16,1633,5.0
17,1852,5.0
18,1852,5.0
19,1852,4.0
20,1852,5.0
21,1852,5.0
22,1852,2.0
23,1852,5.0
24,1240,5.0
24,1852,5.0
25,145,3.0
26,145,5.0
27,145,1.0
28,145,4.0
29,145,5.0
30,145,5.0
31,145,4.0
32,145,3.0
33,5,5.0
34,5,5.0
35,5,5.0
36,5,5.0
37,5,5.0
38,5,5.0
39,5,5.0
40,5,5.0
41,6,3.0
42,6,2.0
43,6,4.0
44,19,5.0
45,1573,4.0
45,3,5.0
45,19,4.0
46,19,5.0
47,19,5.0
48,19,5.0
49,19,4.0
50,19,5.0
51,19,5.0
52,27,4.0
53,27,5.0
54,27,5.0
55,27,4.0
56,27,4.0
57,27,5.0
58,27,3.0
59,34,5.0
60,34,5.0
61,34,5.0
62,34,5.0
63,35,5.0
64,35,5.0
65,35,5.0
66,35,5.0
67,35,2.0
68,35,5.0
69,35,5.0
70,35,3.0
71,41,1.0
72,14,5.0
73,14,5.0
74,42,1.0
75,694,4.0
75,654,3.0
75,44,5.0
75,1791,4.0
76,1500,4.0
76,1479,3.0
76,1661,4.0
76,140,4.0
76,959,4.0
76,1826,3.0
76,204,4.0
76,1855,3.0
76,817,4.0
76,1684,4.0
76,1142,4.0
76,149,3.0
76,1692,4.0
76,1806,5.0
76,44,4.0
76,219,5.0
77,44,5.0
78,44,5.0
79,1693,5.0
79,44,5.0
80,510,5.0
80,466,4.0
80,44,4.0
80,1626,3.0
81,44,5.0
82,204,5.0
82,1806,4.0
82,44,5.0
83,46,5.0
84,46,5.0
85,46,4.0
86,46,4.0
87,46,4.0
88,46,5.0
89,46,5.0
90,46,5.0
91,49,5.0
92,49,5.0
93,49,5.0
94,49,4.0
95,49,5.0
96,51,5.0
97,33,5.0
98,58,5.0
99,59,5.0
100,59,5.0
101,59,5.0
102,59,5.0
103,59,5.0
104,59,5.0
105,59,1.0
106,59,5.0
107,64,4.0
108,64,1.0
109,64,2.0
110,64,4.0
111,64,5.0
112,64,5.0
113,64,5.0
114,64,5.0
115,66,5.0
116,493,2.0
116,1096,3.0
116,66,5.0
117,67,4.0
118,67,4.0
119,67,4.0
120,67,5.0
121,67,5.0
122,67,4.0
123,461,4.0
123,1165,4.0
123,67,5.0
124,68,1.0
125,68,5.0
126,69,5.0
127,74,5.0
128,74,5.0
129,74,4.0
130,74,5.0
131,74,5.0
132,74,2.0
133,74,4.0
134,74,5.0
135,75,5.0
136,75,5.0
137,75,5.0
138,75,5.0
139,75,5.0
140,75,5.0
141,75,5.0
142,75,5.0
143,76,5.0
144,76,5.0
145,77,5.0
146,79,4.0
147,79,5.0
148,79,5.0
149,79,5.0
150,79,5.0
151,79,5.0
152,79,5.0
153,79,5.0
154,82,5.0
155,82,5.0
156,83,5.0
157,83,5.0
158,83,5.0
159,81,5.0
160,81,4.0
161,81,5.0
162,81,5.0
163,81,5.0
164,81,5.0
165,81,5.0
166,81,4.0
167,89,5.0
168,89,5.0
169,89,5.0
170,89,5.0
171,89,3.0
172,89,5.0
173,89,5.0
174,89,5.0
175,92,5.0
176,92,3.0
177,92,1.0
178,92,5.0
179,92,5.0
180,92,5.0
181,92,3.0
182,92,5.0
183,17,5.0
