user_id,id,rating
1,353,5
2,353,5
3,353,5
4,353,5
5,353,4
6,353,5
7,353,4
8,353,4
9,1633,5
10,1633,5
11,1633,4
12,1633,5
13,1633,5
14,1633,5
15,1633,5
16,1633,5
17,1852,5
18,1852,5
19,1852,4
20,1852,5
21,1852,5
22,1852,2
23,1852,5
24,1852,5
25,145,3
26,145,5
27,145,1
28,145,4
29,145,5
30,145,5
31,145,4
32,145,3
33,5,5
34,5,5
35,5,5
36,5,5
37,5,5
38,5,5
39,5,5
40,5,5
41,6,3
42,6,2
43,6,4
44,19,5
45,19,4
46,19,5
47,19,5
48,19,5
49,19,4
50,19,5
51,19,5
52,27,4
53,27,5
54,27,5
55,27,4
56,27,4
57,27,5
58,27,3
59,34,5
60,34,5
61,34,5
62,34,5
63,35,5
64,35,5
65,35,5
66,35,5
67,35,2
68,35,5
69,35,5
70,35,3
71,41,1
72,14,5
73,14,5
74,42,1
75,44,5
76,44,4
77,44,5
78,44,5
79,44,5
80,44,4
81,44,5
82,44,5
83,46,5
84,46,5
85,46,4
86,46,4
87,46,4
88,46,5
89,46,5
90,46,5
91,49,5
92,49,5
93,49,5
94,49,4
95,49,5
96,51,5
97,33,5
98,58,5
99,59,5
100,59,5
101,59,5
102,59,5
103,59,5
104,59,5
105,59,1
106,59,5
107,64,4
108,64,1
109,64,2
110,64,4
111,64,5
112,64,5
113,64,5
114,64,5
115,66,5
116,66,5
117,67,4
118,67,4
119,67,4
120,67,5
119,67,1
121,67,5
122,67,4
123,67,5
124,68,1
125,68,5
126,69,5
127,74,5
128,74,5
129,74,4
130,74,5
131,74,5
132,74,2
133,74,4
134,74,5
135,75,5
136,75,5
137,75,5
138,75,5
139,75,5
140,75,5
141,75,5
142,75,5
143,76,5
144,76,5
145,77,5
146,79,4
147,79,5
148,79,5
149,79,5
150,79,5
151,79,5
152,79,5
153,79,5
154,82,5
155,82,5
156,83,5
157,83,5
158,83,5
159,81,5
160,81,4
161,81,5
162,81,5
163,81,5
164,81,5
165,81,5
166,81,4
167,89,5
168,89,5
169,89,5
170,89,5
171,89,3
172,89,5
173,89,5
174,89,5
175,92,5
176,92,3
177,92,1
178,92,5
179,92,5
180,92,5
181,92,3
182,92,5
183,17,5
184,17,5
185,97,5
186,99,5
187,105,5
188,105,3
189,105,5
190,106,5
191,106,5
192,106,5
193,106,5
194,106,4
195,106,5
194,106,5
196,115,2
197,115,1
198,115,2
199,115,5
200,115,1
201,115,1
202,115,1
203,115,1
204,117,5
205,121,5
206,121,5
207,121,4
208,126,5
209,126,5
210,126,5
211,126,5
212,126,5
213,126,5
214,126,5
