user_id,id,rating
1,1,3
2,1,5
3,1,3
4,1,4
5,1,5
6,1,5
7,1,4
8,1,5
9,2,4
10,2,5
11,2,5
12,2,5
13,2,5
14,2,5
15,2,5
16,2,5
17,4,3
18,4,5
19,4,4
20,4,3
21,4,1
22,5,5
23,5,5
24,5,5
25,5,5
26,5,5
27,5,5
28,5,5
29,5,5
30,6,3
31,6,2
32,6,4
33,6,5
34,6,4
35,6,1
36,6,4
37,6,2
38,7,5
38,1576,5
39,7,5
39,1576,5
40,7,5
40,1576,5
41,7,5
41,1576,5
42,7,5
42,1576,5
43,7,5
43,1576,5
44,7,5
44,1576,5
45,7,5
45,1576,5
46,8,4
47,8,4
48,8,1
49,8,5
50,8,5
50,8,5
51,8,1
52,8,3
53,9,5
54,9,5
55,9,5
56,9,4
57,9,5
58,9,2
59,9,5
60,9,2
69,14,5
70,14,5
71,17,5
72,17,5
73,18,4
74,18,3
75,18,2
76,18,3
77,18,3
78,18,5
79,18,5
80,18,5
81,19,5
82,19,4
83,19,5
84,19,5
85,19,4
86,19,5
87,19,5
88,19,5
89,22,5
19,25,5
90,26,5
91,26,5
92,26,4
93,26,5
94,26,5
95,26,5
96,26,5
97,26,5
98,27,4
99,27,5
100,27,5
101,27,4
102,27,4
103,27,5
104,27,3
105,31,5
106,31,1
107,35,5
108,35,5
109,35,5
110,35,2
111,35,5
112,35,5
113,35,3
114,35,4
115,44,5
116,44,4
117,44,5
1,44,5
118,44,5
119,44,4
120,44,5
121,44,5
122,46,5
123,46,5
124,46,4
125,46,4
126,46,4
127,46,5
128,46,5
129,46,5
130,49,5
131,49,5
132,49,5
133,49,4
134,49,5
135,51,5
136,59,5
137,59,5
138,59,5
139,59,5
140,59,5
141,59,5
142,59,1
143,59,5
144,61,2
145,61,5
146,63,5
147,63,5
148,63,5
149,64,5
150,64,5
151,64,5
152,64,5
153,64,3
154,64,5
155,64,5
156,64,5
157,66,5
158,66,5
159,67,4
160,67,4
161,67,4
162,67,5
161,67,1
163,67,5
164,67,4
165,67,5
166,68,1
167,68,5
