id,name,address,latitude,longitude,location,types,
916,Country Oasis Trekking Agency & Village Resort,"Charpane to Rajgad Road, Barahdashi 57209, naepaala",26.5512883,87.9416444,Barahdashi, trek,
917,Creative Art Gallery,"HFGV+XM4, Baadreni Road, rata‍nanagara 44200, naepaala",27.5773864,84.4942165,Baadreni Road,,
918,Creative arts and crafts hub,"bhakatapaura 44800, naepaala",27.6700939,85.4381802,naepaala, art_gallery,
919,Crown Aquatics Nepal,"Mhepi Marg, kaathamaadaauँ 44600, naepaala",27.7273849,85.3093281,kaathamaadaauँ,,
920,Cultural Village,"V2CV+F4C, dhanaushaadhaama 45600, naepaala",26.8711866,86.0427626,dhanaushaadhaama, historic_site,
921,"Cultural Village, Mithila, Nepal","2 (Purandaha, janakapaura 45600, naepaala",26.800725,86.0027007,janakapaura, historic_site,
922,Curio Concern,"Durbar Marg, Kathmandu 44600, Nepal",27.711452,85.3174464,Kathmandu,"art_gallery, jewelry_store, furniture_store, home_goods_store, store, point_of_interest, establishment",
923,D Tar dai taara kauraulae / chaaubaisae ४ dhanakautaa Dhankuta,"D Tar dai taara kauraulae / chaaubaisae ४, naepaala",26.9819678,87.4889075,naepaala, park,
924,D-Siltank picnic spot,"baidaura 44900, naepaala",27.9421887,85.1582905,naepaala,,
925,D.B. ARTS Home,"RVJX+GFR, maohanayaala 10900, naepaala",28.831355,80.8986502,maohanayaala, art_gallery,
926,D.G pyuthan house 🏠,"Pyuthan arjham, payauuthaana, naepaala",27.9932014,82.9087306,payauuthaana, church,
927,DADA GAUN,"8493+PHF, Ramechhap 45400, Nepal",27.319307,86.1039189,Ramechhap,"park, point_of_interest, establishment",
928,DAK GALLERY,"saaँphaewagara 10700, naepaala",29.2351751,81.2069314,naepaala, art_gallery,
929,DC FARMLAND,"F2QC+QR4, thaapaapaura 10901, naepaala",28.4893858,81.0220869,thaapaapaura, museum,
930,DD Park Tanahunsur,"28GC+QV, Tanahunsur, Nepal",28.0269113,84.3221541,Tanahunsur,"park, point_of_interest, establishment",
931,DDLG,"PFF8+2V, shangakharaapaura 44600, naepaala",27.722506,85.467182,shangakharaapaura, hike,
932,DEHI ART,"Ward office road, West of Manisha Polyclinic, Mechinagar 6, naepaala",26.6473659,88.1532933,West of Manisha Polyclinic,,
933,DEV ART GALLERY,"Manamaiju, napi, taarakaeshawara 44600, naepaala",27.7486017,85.3139557,napi, art_gallery,
934,DEVKOTA RESORT,"JHR9+6V5, daewadaha nagarapaalaikaa 32900, naepaala",27.6405101,83.5697312,daewadaha, museum,
935,DG ARTS gaopaala sharaeshatha,"M7FC+FVP, itaharaii 56705, naepaala",26.6734926,87.2698356,itaharaii, art_gallery,
936,DHAMBOJHI Water Park,"naepaalaganyaja 21900, naepaala",28.0752578,81.6291556,naepaala, park,
937,DOBAN PARK,"PFXC+69H, daobhaana 32500, naepaala",27.7480567,83.4709926,daobhaana, amusement_park,
938,DTS service,"gaodaawaraii 44709, naepaala",27.6134557,85.3651795,naepaala, church,
939,DUNGGA FREEDOM CHURCH,"M6PW+95M, chanadaraagairaii 44600, naepaala",27.6859395,85.2454148,chanadaraagairaii, church,
940,DURGA MANDIR,"WQ9H+3WX, gaaushaalaa 45700, naepaala",26.9177158,85.7799283,gaaushaalaa, hindu_temple,
941,"Dabali Panauti, dabalaii panaautaii","HGP8+448, Aghatole, panaautaii 7, naepaala",27.5852775,85.5153278,Aghatole, historic_site,
942,Dadako Park,"74WR+XM8, Ramechhap 45400, Nepal",27.2974055,86.1417017,Ramechhap,"park, point_of_interest, establishment",
943,Dadamandu kalikot,"6JF5+927 3, rakau 21300, naepaala",29.2234214,81.6075464,rakau, hindu_temple,
944,"Dadeldhura, Aalital","4G4F+39X, aalaitaala 10300, naepaala",29.1052411,80.5234906,aalaitaala, monument,
945,Dadikhel Deurali daaँdaiikhaela daeuraalaii,"J69V+5HR, dakashainakaalaii 44600, naepaala",27.6179819,85.2438813,dakashainakaalaii, park,
946,Daha ghau,"QMC4+X42, daulalau 21600, naepaala",28.7723754,81.6552558,daulalau, hike,
947,"Dahabang, Musikot Rukum west","HFV3+7R, bhalaakachaa 22000, naepaala",28.593133,82.454557,bhalaakachaa, tourist_attraction,
948,Dahakhani,,27.7699996,84.54999989,0,,
949,Dahare Deurali,,28.14842708,83.74361889,0,,
950,Dahipauri,"J5QP+V4X, Siraha 56500, Nepal",26.6397409,86.1853474,Siraha,"park, point_of_interest, establishment",
951,"Daicha Patti, Santibinayak Ganesh Mandir, Balkot","shanti binyak road, ananatalaingagaeshawara, naepaala",27.6630764,85.3786085,ananatalaingagaeshawara, hindu_temple,
952,"Dailekh Fort ,daailaekha gadhaii","RPR5+6WQ, naaraayana nagarapaalaikaa 21600, naepaala",28.8374475,81.7082737,naaraayana, tourist_attraction,
953,Dakshin Barahi Park,"M99P+29Q, ananatalaingagaeshawara, naepaala",27.6675878,85.3859708,ananatalaingagaeshawara, park,
954,Dakshindhoka Shanti Park,"P9CP+RW5, gaokaranaeshawara 44600, naepaala",27.7220014,85.387372,gaokaranaeshawara, picnic,
955,Dakshinkali Park,"J747+63W, pharapainga-kaulaekhaanaii sadaka, dakashainakaalaii 44600, naepaala",27.606339,85.2621393,pharapainga-kaulaekhaanaii sadaka, picnic,
956,Dakshinkali Temple,,27.60510655,85.26346983,0,,
957,Dalachaur Chautari,"HHXR+7FF, paatalaekhaeta 45200, naepaala",27.5981875,85.5911719,paatalaekhaeta, tourist_attraction,
958,Dalwa Park,"FRC8+XX4, raamapauraamalahanaiyaa 56400, naepaala",26.4723867,86.817445,raamapauraamalahanaiyaa, park,
959,Damak Fun Park,"damaka 57217, naepaala",26.6998805,87.6988601,naepaala, park,
960,Damakur,"Rolpa municipality 8 damakur, Nepal",28.3044851,82.6363356,Nepal,"park, point_of_interest, establishment",
961,Dambu Picnic Spot,"C858+HC, daaँdaaँgaaँuu 33200, naepaala",28.4088944,83.3160813,daaँdaaँgaaँuu, picnic,
962,"Damphu Danda (damaphau chaanga) - raoharaosaaiibaa, taemaala","GP7V+JJC, 45200, naepaala",27.5140748,85.7440179,45200, monument,
963,Damti suspension bridge,"4WW4+5XX, Pyuthan 22300, Nepal",28.1454996,82.90748,Pyuthan,"park, point_of_interest, establishment",
964,Danda khali,"3H89+V4, baudara 10900, naepaala",29.0671962,80.5677505,baudara,,
965,"Daneswor Ghimire Memorial Water Tap, Poudi Amarahi","6752+GCF, Daneswor Ghimire Memorial Water Tap, paaudaii amaraahaii 32600, naepaala",28.2088163,83.2510483,Daneswor Ghimire Memorial Water Tap, amusement_park,
966,Dang tulsipur,"taulasaiipaura 22412, naepaala",28.1284746,82.3068771,naepaala, trek,
967,Dangdunge,"PXR5+3M4, paisakara 45302, naepaala",27.7401345,85.9591941,paisakara, tourist_attraction,
968,Dangdunge view point,"JFQ4+5V, saurayawainaayaka, naepaala",27.6379729,85.4572117,saurayawainaayaka, hike,
969,Dangi Mandir,"39Q9+9W4, baijaauraii 22412, naepaala",28.0883948,82.3698341,baijaauraii, hindu_temple,
970,Dangisharan Cultural Homestay damgaisharana saamsakaृtaika haomasatae,"Paschim galli, near Ratri Aadharbhut School Dangisharan-4, Baibang 22409, naepaala",28.0832191,82.1954185,near Ratri Aadharbhut School Dangisharan-4, historic_site,
971,Dangol's Bird Art Gallery & art institute,"Kathmandu 44600, Nepal",27.6931503,85.2893099,Nepal,"art_gallery, point_of_interest, establishment",
972,Dapcha Bazaar,"Shree krishna mandir, kaashaiikhanada 45200, naepaala",27.5531117,85.6076882,kaashaiikhanada, historic_site,
973,Darbot Rolpa daarabaota raolapaa,"8GGQ+XR, daarabaota, kaotagaauँ, naepaala",28.3275624,82.5383158,daarabaota,,
974,Darjeling Line,"PGP2+WC4, laetaanga 56600, naepaala",26.7372704,87.5010838,laetaanga, hike,
975,Darkhaswa Park,"Darkhaswa, Siddharthanagar-3, saidadhaarathanagara, naepaala",27.4928789,83.4642191,Siddharthanagar-3, park,
976,Darul huda madarsa,"RQR9+HM3, laalamataiyaa 22404, naepaala",27.8413883,82.7691766,laalamataiyaa, mosque,
977,Dashrathchand municapality 6 Titragau,"HCCG+6JX, dasharathachanada 10200, naepaala",29.5706161,80.4266085,dasharathachanada, park,
978,Data chalaune pomdok,"FQ9R+Q47, Sautang 56000, naepaala",27.4694,86.7903,Sautang, park,
979,Dattanam Mahabihar,,27.67415282,85.32323347,, Archaeological Site,
980,Dattatraya,,27.67310704,85.43538384,0,,
981,Dattatraya temple,,27.673737,85.435326,0,,
982,Daulang mahadab,"R3R6+222, baigau 45500, naepaala",27.84,86.06,baigau, hindu_temple,
983,"Daulichaur 01,Surma Bajhang","J4J5+285, jayapaृthawaii 10500, naepaala",29.6300125,81.1083594,jayapaृthawaii, tourist_attraction,
984,Daunne Devi Temple,"HR2Q+52Q, mahaenadara raajamaaraga, daumakaiibaasa 33003, naepaala",27.5504474,83.8376638,mahaenadara raajamaaraga, hindu_temple,
985,Davis Fall Pokhara,,28.18924504,83.95866383,0,,
986,Dawa pound,"52J6+JG, baasaudaewaii 10800, naepaala",29.1815513,81.0113067,baasaudaewaii, trek,
987,Dawan chaauka,"6226+XV7, Bhojpur 57000, Nepal",27.2024621,87.0122539,0,Bhojpur,
988,Daya Shankar house,"RHVR+CHF, lamahaii, naepaala",27.8433092,82.5919162,lamahaii, museum,
989,Dear arn,"5CH6+R4R, gauthaiichaaura 21200, naepaala",29.1796068,82.4102628,gauthaiichaaura, museum,
990,Deaurali,"53H2+5XV, bhaojapaura 6, naepaala",27.1779842,87.0524338,bhaojapaura, church,
991,Deaurali(masaanaii)temple,"Chure-5, naepaala",28.9536518,80.6082541,naepaala, hindu_temple,
992,Debidanda,"R87Q+2GJ, baidayaapaura 21700, naepaala",28.8125817,81.3387501,baidayaapaura, picnic,
993,Debsthal Dakshinkali Mandir,,27.63884106,85.3420485,, Religious Site,
994,Deep Art,"Gajuri Baazar, 45112, naepaala",27.8053718,84.8808938,45112, art_gallery,
995,"Deep aquarium and interior,janakpurdham","Bisharachowk, janakpurdham-04, janakapaura, naepaala",26.7215688,85.9321964,janakpurdham-04, aquarium,
996,Degu Taleju Mandir,,27.67321217,85.32529207,, Religious Site,
997,Delhi Pahiro,"32PW+W8, panyachakaulae 21900, naepaala",28.0873422,82.0458007,panyachakaulae, hike,
998,Dendi Sherpa Lookout Point,"M259+MV8, Manang 33500, Nepal",28.6591295,84.0197269,Manang,"park, point_of_interest, establishment",
999,Deora,"Deora, kaailaashamaadaauँ 21300, naepaala",29.3533333,81.5533333,kaailaashamaadaauँ, park,
1000,Deuchula daeuchaulaa local name,"RRMX+F68, apaii 10100, naepaala",29.8336706,80.8480648,apaii, tourist_attraction,
1001,Deukot view Tower,"GRQC+FMG, Unnamed Road, manaharai 44100, naepaala",27.5386758,84.8216984,Unnamed Road, park,
1002,Deumai ilam,"WQ6F+X89, dhausaenaii 57300, naepaala",26.9124224,87.7733308,dhausaenaii, historic_site,
1003,Deurali,"WWC9+3GV, Ilam 57300, Nepal",26.9202464,87.9187975,Ilam,"park, point_of_interest, establishment",
1004,Deurali Arghakhanchi,"25XX+JVW, Deurali Chauri Rd, bhagawataii 32600, naepaala",28.0491242,83.1997125,Deurali Chauri Rd,,
1005,"Deurali Bhanjyang,Ratna Rajmarg","8MQF+7C, baaँsagadhaii, naepaala",28.3381313,81.6735612,baaँsagadhaii, tourist_attraction,
1006,Deurali Dada daeuraalaii daaँdaa,"J64R+4CR, dakashainakaalaii 44600, naepaala",27.6053522,85.2410267,dakashainakaalaii, historic_site,
1007,"Deurali Gadi, Chyama","G4JG+M6, chayaamaa 45500, naepaala",27.5315755,86.1255996,chayaamaa, hindu_temple,
1008,Deurali dada(prak),"W3FG+5J, khadaga bhanajayaamga 44900, naepaala",27.9229167,85.0765783,khadaga, trek,
1009,Deurali daeuraalaii,"FQ26+JFJ, phaungalainga 57500, naepaala",27.451593,87.7611437,phaungalainga, zoo,
1010,Deurali dandaa,"F23V+2W, makawaanapauragadhaii 44100, naepaala",27.4526198,85.0448364,makawaanapauragadhaii, trek,
1011,"Deurali,Dhorpatan","FXF3+PG, naisaii 33300, naepaala",28.4742655,82.9537692,naisaii, hike,
1012,Deuti art,"HJW8+XWV, waiiraenadaranagara 21700, naepaala",28.5975725,81.6173277,waiiraenadaranagara, art_gallery,
1013,Deuti than,"VJCX+V8, raawatakaota 21600, naepaala",28.8721522,81.6483716,raawatakaota, historic_site,
1014,Deutibajai temple,"JF25+J9Q, Kushadevi -1, 45200, naepaala",27.6015875,85.4584844,Kushadevi -1,,
1015,Dev Aquarium,"H02, chanadaraagairaii 44600, naepaala",27.6870579,85.2663422,chanadaraagairaii, aquarium,
1016,Devachuli lower view tower and a Devachuli temple,"Q57G+FQR, daewachaulaii 33000, naepaala",27.7637357,84.1768758,daewachaulaii, monument,
1017,Devchuli Hill (1938 Meter),"Q59H+2VQ, upalalao arakhalae 33000, naepaala",27.767585,84.1797233,upalalao, historic_site,
1018,Devchuli dada,"Q59H+3V9, upalalao arakhalae 33000, naepaala",27.7676577,84.1797298,upalalao, tourist_attraction,
1019,Devdaha Farmers Park,"JHVR+VV5, daewadaha nagarapaalaikaa 32900, naepaala",27.6446275,83.5922369,daewadaha, park,
1020,Devdhari stadium SUNDARPUR chakarghatta 4,"VFHR+VQP, saunadarapaura 45800, naepaala",26.8797126,85.4919553,saunadarapaura, park,
1021,Devghat Dham,,27.74293828,84.42308078,0,,
1022,Devi Than,"GM8J+WP, thawaanga 22000, naepaala",28.5172855,82.6817811,thawaanga, hindu_temple,
1023,Devisthan,"MJC5+F9X, paaँchakhaala 45212, naepaala",27.6712339,85.6084986,paaँchakhaala, hindu_temple,
1024,Devisthan yekasalla,"Malika 5, naepaala",28.4378473,83.3632972,naepaala, trek,
1025,"Devisthan,(Place of Hindhu Godess Bhagwati) Dhulikhel","JH69+5G3, dhaulaikhaela 45200, naepaala",27.610384,85.5687882,dhaulaikhaela, hindu_temple,
1026,Dewahi Gonahi Municipality,"W7J7+WF4, paraemamapaura gaunaahaii 44500, naepaala",26.9322699,85.2637182,paraemamapaura, trek,
1027,Dewal (Ancient history ),"8JHV+5XJ, 10300, naepaala",29.3279627,80.6449039,10300, museum,
1028,Dewangunj Biratnagar tempo station,"C4XQ+Q95, daewaanaganyaja, naepaala",26.4493905,87.1384843,daewaanaganyaja, park,
1029,Dewariya,"PJ59+93R, Jungle Rd, dhanagadhaii 10900, naepaala",28.708491,80.617635,Jungle Rd, historic_site,
1030,Dha Tala Mandir,,27.68503743,85.32441063,0,,
1031,"Dhada Gauu Masta Than (Temple) village ,Jajarkot","RWVG+262, daha 21500, naepaala",28.8425131,81.9255249,daha, hindu_temple,
1032,Dhade Khola,"M5W7+6Q, lamakaii chauhaa 10900, naepaala",28.6955307,81.1643884,lamakaii, picnic,
1033,Dhade Khola Picnic Area Rest Camp,"M5V6+C7, lamakaii chauhaa 10900, naepaala",28.693584,81.1606478,lamakaii, picnic,
1034,Dhading Gajuri Rakshing,"QV74+998, gajauraii 45100, naepaala",27.7634102,84.8559506,gajauraii, tourist_attraction,
1035,Dhading masjid,"WV6R+QWQ, nailakanatha 45100, naepaala",27.9119707,84.8923636,nailakanatha, mosque,
1036,Dhading salyantar galachhainadaila,"XQJV+V55, salayaanataara, naepaala",27.9821254,84.7929921,salayaanataara, park,
1037,Dhading thakre,"P4Q2+GFH, thaakarae 45100, naepaala",27.7388154,85.1012477,thaakarae, park,
1038,Dhadkhola,"Harraboat Lamjung, Tarkughat 33600, Nepal",28.1180855,84.4403973,Tarkughat,"park, point_of_interest, establishment",
1039,Dhaitar Outdoor Gym,"PJ62+QF, mahaadaewasathaana manadana 45200, naepaala",27.7118946,85.601144,mahaadaewasathaana, amusement_park,
1040,Dhakeri Picnic Spot,"4QW8+XRQ, mahaenadara raajamaaraga, mahaadaewapauraii 21900, naepaala",28.1474581,81.7670992,mahaenadara raajamaaraga, picnic,
1041,Dhaku dhaakau,"38CJ+J5F, 10700, naepaala",29.0715734,81.3304288,10700, hike,
1042,Dhalachhen,"M89H+JMJ, Tyagal - Lalitpur Rd, Lalitpur 44600, Nepal",27.6690774,85.3291483,Tyagal - Lalitpur Rd,"museum, point_of_interest, establishment",
1043,Dhalkebar Mashiha Church,"WXH7+X5X, mahaenadara raajamaaraga, maithailaa 45600, naepaala",26.9299781,85.9629835,mahaenadara raajamaaraga, church,
1044,Dhalpuro temple dhalapaurao manadaira Mangal,"01, hapkot, naepaala",29.2624364,81.6079413,hapkot, hindu_temple,
1045,"Dhamena village, Bajhang","J756+PPQ, Talkot 10500, naepaala",29.6093367,81.2618517,Talkot, tourist_attraction,
1046,Dhami house ™,"P776+CR7, naagaarajauna 44600, naepaala",27.7134983,85.2620607,naagaarajauna, hindu_temple,
1047,Dhamili Prayer Hill,"JM9M+JJ, paipalae 44200, naepaala",27.6190057,84.6841159,paipalae, hike,
1048,Dhamini Temple,"Q8VH+JQ3, gaolabajaara 56500, naepaala",26.7940209,86.3294362,gaolabajaara, hindu_temple,
1049,Dhanadi kabrastan,"W9G6+XX, gamaharaiiyaa 44500, naepaala",26.9274899,85.3624294,gamaharaiiyaa, church,
1050,Dhancauri Forest,"PJ8H+WC, dhanagadhaii 10900, naepaala",28.7173552,80.6286095,dhanagadhaii, hike,
1051,Dhandre Khola,"JMPJ+4X, paaँchakhaala, naepaala",27.6352902,85.6824173,paaँchakhaala, hike,
1052,Dhangadhi Chowk,"MJX2+RG4, dhanagadhaii 10900, naepaala",28.6995803,80.6015185,dhanagadhaii, tourist_attraction,
1053,Dhangadhi Park,"Dhangadhi Park, dhanagadhaii 10900, naepaala",28.7064179,80.5860244,dhanagadhaii, park,
1054,Dhangri,"VGX3+5PH, Padani 2, paokharaathaoka 32500, naepaala",27.8979456,83.5043545,Padani, church,
1055,Dhankaul Rural Municipality,"WC54+MJG, harakathawaa 45800, naepaala",26.9091935,85.4065702,harakathawaa, historic_site,
1056,Dhankuta,"W5WR+7V6, chhainataanga 56800, naepaala",26.945655,87.192136,chhainataanga, park,
1057,Dhankuta tower,"X933+45M, dhanakautaa 56800, naepaala",26.9528305,87.3529303,dhanakautaa, trek,
1058,Dhanmatiya devi memorial,"W65Q+6W, inarauwaa 44500, naepaala",26.9080233,85.2397783,inarauwaa, monument,
1059,Dhanpal Gadhi Jungle,"H9XW+32H, banaigaamaa raoda, baelawaaraii 56600, naepaala",26.5976796,87.395103,banaigaamaa raoda, historic_site,
1060,Dhanush Mandir - Dhanushadham,"R3J4+7Q6, dhanaushaadhaama 45600, naepaala",26.8306745,86.0568996,dhanaushaadhaama, tourist_attraction,
1061,Dhanush Sagar,,26.72789368,85.92821879,0,,
1062,Dhanusha Dham,"R3J5+GCF, dhanaushaadhaama 45600, naepaala",26.8311901,86.0585534,dhanaushaadhaama, historic_site,
1063,Dhanusha Dham Temple,"R3J4+CQ6, dhanaushaadhaama 45600, naepaala",26.8304824,86.0570982,dhanaushaadhaama, hindu_temple,
1064,Dhanusha Dham To Way,"QW7H+4P5, janakapaura 45600, naepaala",26.7627621,85.9293596,janakapaura,,
1065,Dhanusha Mahendranagar,"VX46+XJX, chhairaeshawaranaatha 45600, naepaala",26.8574875,85.961639,chhairaeshawaranaatha, hindu_temple,
1066,Dhanushadham Botanical Garden,"Dhanusha dham.3, Dhanusadham 45600, Nepal",26.8703606,86.0445641,4.3,Dhanusadham,
1067,Dhanushadham Church,"R3P6+8X7, dhanaushaadhaama 45600, naepaala",26.835801,86.0623246,dhanaushaadhaama,,
1068,Dhanushadham Protected Forest,"R3V2+X5F, Dhanusadham 45600, Nepal",26.8449378,86.0504111,4.2,Dhanusadham,
1069,Dhap Bazaar,"9GPP+X2J, janatarakhaanaii 56000, naepaala",27.3874648,86.535002,janatarakhaanaii, trek,
1070,"Dhap Dam , Shivapuri National Park","Sundarijal-Chisapani Trek, gaokaranaeshawara, naepaala",27.8059842,85.4555618,gaokaranaeshawara, hike,
1071,Dhap Pokhari ilam,"2XFP+G6H, jamaunaa 57300, naepaala",27.0238013,87.9856241,jamaunaa, tourist_attraction,
1072,Dhap kharka,"52XX+GFR, Bhojpur 57000, Nepal",27.1988617,87.0486487,0,Bhojpur,
1073,Dhara Pani Picnic Spot,"MV5C+JC4, kanyachanaraupa 56400, naepaala",26.6596196,86.8704706,kanyachanaraupa, picnic,
1074,Dharahara,,27.70054122,85.31212578,0,,
1075,Dharahara Park dharaharaa bagaaichaa,"P827+55C, Shundara marg, Kathmandu 44600, Nepal",27.7006755,85.3130526,Shundara marg,"park, point_of_interest, establishment",
1076,Dharampur 8 lalu kalikot,"4HW3+2GM, laalau 21300, naepaala",29.1450772,81.5538046,laalau, hike,
1077,"Dharan Aquarium, Con:532457","gaautama patha, dharaana 56700, naepaala",26.8123674,87.2832361,dharaana, aquarium,
1078,Dharan Mosque,"R77Q+853, dharaana 56700, naepaala",26.8132525,87.2879541,dharaana, mosque,
1079,Dharan Zero Point,"amara patha, dharaana 56700, naepaala",26.8299478,87.2866794,dharaana, historic_site,
1080,Dharche Dada,"Dharche Dada, naepaala",28.1569951,84.7987032,naepaala, historic_site,
1081,Dharche Gaang (Hill),"5Q4X+GWF, Chunkang 5, naepaala",28.1563064,84.7997935,Chunkang, tourist_attraction,
1082,"Dharche Park, Larpak","6Q5J+228, Unnamed Road, laaparaaka, naepaala",28.2075418,84.780092,Unnamed Road, park,
1083,Dharchula camping and trekking store,"near, imdaiyaa - naepaala maaraga, dhaarachauulaa, utataraakhamda 262545, bhaarata",29.8480611,80.5420227,imdaiyaa - naepaala maaraga, trek,
1084,Dharma Dham,,27.61724754,84.51172108,0,,
1085,Dharma Peak,"CRQC+Q65, Sautang 56000, naepaala",27.4393895,86.8206155,Sautang,,
1086,Dharmakirti Mahabihar,,27.70966392,85.30979997,0,,
1087,Dharmanath Mahadev Temple,"WM56+5QW, dhanakaaula pachhawaaraii 45800, naepaala",26.9079987,85.661968,dhanakaaula, monument,
1088,Dharmaraj,"Khajura 2 , 21900, naepaala",28.0807101,81.5446376,21900, hindu_temple,
1089,Dhaulagiri Base Camp Trek,"MFXQ+92Q, maudaii 33200, naepaala",28.6984547,83.4876091,maudaii, monument,
1090,Dhaulagiri I,"Dhaulagiri I, maudaii 33200, naepaala",28.6966666,83.4941666,maudaii, historic_site,
1091,Dhaulagiri Icefall,"MGCC+638, maudaii 33200, naepaala",28.6705446,83.5202038,maudaii, mosque,
1092,Dhaulagiri Sanctuary Trek,"JGRH+3F6, Jomsom Sadak, kaowaamga 33100, naepaala",28.6401669,83.528645,Jomsom Sadak, trek,
1093,Dhimsa Resting Point,"gaosaaikaunada patha, 45000, naepaala",28.1074534,85.3311421,45000, hike,
1094,Dhiraj Art Gallery,"M6G2+482, raamadhaunaii bhaasaii 56709, naepaala",26.6753021,87.2007881,raamadhaunaii, art_gallery,
1095,Dhital khatry,"P6Q9+35, chhatarae daeuraalaii 45100, naepaala",27.7376744,85.2179707,chhatarae, historic_site,
1096,Dhobhan,"MV49+V9J, naepaala",27.6572065,85.8683874,naepaala, hindu_temple,
1097,"Dhobini-05, Mosque","3MMP+44J, dhaaubainaii 44300, naepaala",27.0824977,84.6851358,dhaaubainaii, mosque,
1098,Dhokejor Waterfall,"4HM6+WM, haraiwana 45804, naepaala",27.1347967,85.5617109,haraiwana, hike,
1099,Dholbaje,"9684+36C, Dholbaje Rd, khaaँdabaaraii 56900, naepaala",27.3651835,87.205503,Dholbaje Rd, historic_site,
1100,Dhomboji Masjid,"3J9G+2J8, naepaalaganyaja 21900, naepaala",28.067557,81.6265939,naepaalaganyaja, mosque,
1101,Dhorpatan,"Dhorpatan, 33300, naepaala",28.500139,83.064537,33300, historic_site,
1102,Dhorpatan Hunting Reserve,"F3V5+WV, sayaalapaakhae 33300, naepaala",28.4947535,83.059632,sayaalapaakhae, park,
1103,Dhorpatan Hunting Reserve Office,"F3V3+2X9, 33300, naepaala",28.492481,83.0549767,33300, hike,
1104,Dhorsing,"G4Q3+X83, bhaimaphaedaii 44100, naepaala",27.5398781,85.1032902,bhaimaphaedaii, historic_site,
1105,Dhorsing Picnic Spot,"G4Q4+6QP, bhaimaphaedaii 44100, naepaala",27.5380934,85.1069533,bhaimaphaedaii, picnic,
1106,Dhudh Pokhari (dhauda paokharai),"8M79+W9, ghayaachaoka, naepaala",28.312397,84.6695206,ghayaachaoka, tourist_attraction,
1107,Dhulabari Chowk,"dhaulaabaaraii raoda, maechaiinagara 57207, naepaala",26.6597928,88.1005783,maechaiinagara, historic_site,
1108,Dhuleshwor Park,"VJR9+29, daulalau 21600, naepaala",28.8900137,81.6184331,daulalau, park,
1109,Dhulikhel Picnic Park,"Dhulikhel Picnic Park, dhaulaikhaela maaraga, dhaulaikhaela 45200, naepaala",27.6158506,85.5623357,dhaulaikhaela maaraga, park,
1110,Dhulla,"PFJ7+96M, shangakharaapaura 44600, naepaala",27.7309713,85.4630542,shangakharaapaura, historic_site,
1111,Dhundi Dream Park Pvt. Ltd.,"2F3X+V4V, ghaoraahaii 17, naepaala",28.0047278,82.4978159,ghaoraahaii, museum,
1112,Dhunge Dhara Bode,"M9RR+JMF, madhayapaura thaimai 44600, naepaala",27.6915698,85.3916719,madhayapaura, amusement_park,
1113,Dhunibeshi,"P57J+927, naaubaisae 45100, naepaala",27.71367,85.179889,naaubaisae, park,
1114,Dhurbaghat Park,"taanasaena 32500, naepaala",27.8700008,83.5656884,naepaala, park,
1115,Dhurbe dado,"MJ54+QHV, paaँchakhaala 45212, naepaala",27.6594887,85.6064253,paaँchakhaala, historic_site,
1116,Dhurkot Gulmi,"446Q+996, dhaurakaota raajasathaala 32600, naepaala",28.1109061,83.1383887,dhaurakaota, tourist_attraction,
1117,Dhuseni Kalika temple,"584G+JWX, Sundarbazar 10, saunadarabajaara, naepaala",28.1586989,84.3263886,Sundarbazar, hindu_temple,
1118,"Digre saikumari temple, rukum","JFJG+7FH, mausaiikaota 22000, naepaala",28.6306774,82.4762193,mausaiikaota,,
1119,Digu Bhairava Temple,,27.679148,85.385708,0,,
1120,Dikchaur,"R3P2+32, dauipaipala 44900, naepaala",27.8351825,85.0500148,dauipaipala, picnic,
1121,Diktel Bazar,"daikataela 56200, naepaala",27.2231286,86.7878354,naepaala,,
1122,Diktel Jeevan Baptist Church,"6QFR+H7M, daikataela 56200, naepaala",27.2238689,86.7906008,daikataela, church,
1123,Diktel View Tower,"6Q9R+PQ6, daikataela 56200, naepaala",27.2192868,86.7919009,daikataela, museum,
1124,Dilip home,"J5VP+C65, Siraha 56500, Nepal",26.6444144,86.186282,Siraha,"park, point_of_interest, establishment",
1125,Dilli housing,"6HPJ+HJ, baaँsagadhaii 21800, naepaala",28.2364483,81.5816168,baaँsagadhaii, trek,
1126,Dinanath Bhadari Temple,"C7R3+HGC, rishai daewa taola, wairaatanagara 56613, naepaala",26.4414492,87.2537532,rishai daewa taola, hindu_temple,
1127,"Dinesh Memorial School Khadak Municipality-5,Kharchuhiya,Saptari","JHXR+96X, khaojapaura 56400, naepaala",26.6484823,86.5906298,khaojapaura, monument,
1128,Dingla Baptist Church ✝️,"945G+3R, shadaananada 57000, naepaala",27.3576012,87.1269778,shadaananada, church,
1129,Dingla bajar,"944P+R8H, shadaananada 57000, naepaala",27.3570577,87.1358611,shadaananada, historic_site,
1130,Dipak Art Gallery,"M849+CMV, Lalitpur 44700, Nepal",27.6561069,85.3191794,Lalitpur,"art_gallery, point_of_interest, establishment",
1131,Dipak house,"W446+PM6, saimaraaunagadha 44400, naepaala",26.9067822,85.1116264,saimaraaunagadha, zoo,
1132,Dipankar Mahavihar,,27.6748852,85.4337626,0,,
