user_id,id,rating
1,1,3
1,44,5
2,1,5
3,1,3
4,1,4
5,495,3
5,505,4
5,507,3
5,550,3
5,128,3
5,112,3
5,1,5
6,1,5
7,909,5
7,1,4
8,1,5
9,996,5
9,2,4
10,754,0
10,22,5
10,1631,0
10,996,5
10,2,5
11,297,5
11,2,5
11,996,5
12,996,5
12,2,5
13,996,4
13,2,5
14,1159,5
14,2,5
14,1803,4
14,996,5
15,1183,5
15,996,5
15,892,0
15,1648,5
15,2,5
16,363,5
16,701,5
16,11,5
16,909,5
16,996,5
16,20,5
16,2,5
17,4,3
17,1733,5
17,270,5
17,1132,5
17,468,5
17,290,4
17,1243,4
17,165,5
17,132,5
17,1410,5
18,4,5
18,1132,5
19,1132,5
19,4,4
19,25,5
20,1132,5
20,4,3
21,4,1
21,1132,4
22,1132,5
22,5,5
23,31,5
23,1132,5
23,5,5
24,5,5
24,1132,5
25,20,5
25,5,5
26,570,4
26,215,5
26,586,4
26,406,4
26,746,4
26,5,5
27,600,5
27,5,5
28,5,5
29,606,5
29,5,5
29,474,5
30,6,3
31,6,2
32,6,4
33,788,5
33,201,4
33,1601,4
33,705,3
33,586,4
33,570,4
33,720,4
33,307,4
33,6,5
34,6,4
35,139,5
35,6,1
36,6,4
37,6,2
38,7,5
38,1576,5
39,1576,5
39,133,5
39,7,5
40,7,5
40,1576,5
41,1576,5
41,279,5
41,7,5
42,7,5
42,1576,5
42,385,5
43,1576,5
43,7,5
44,37,5
44,1576,5
44,7,5
45,1576,5
45,7,5
46,8,4
47,8,4
47,359,1
47,689,1
48,359,5
48,689,5
48,8,1
49,8,5
49,689,5
49,359,5
50,689,3
50,359,3
50,8,5
51,8,1
51,689,3
51,359,3
51,11,4
52,359,5
52,689,5
52,8,3
53,9,5
53,689,5
53,359,5
54,9,5
54,689,5
54,359,5
55,9,5
55,11,4
56,11,2
56,9,4
57,9,5
57,11,5
58,9,2
58,11,5
58,965,3
58,195,5
59,300,5
59,264,5
59,11,5
59,154,5
59,9,5
60,9,2
60,11,4
61,363,4
62,190,4
62,363,5
62,618,4
63,363,5
64,618,5
64,363,2
65,363,5
66,363,5
66,935,5
67,946,5
67,363,5
67,67,5
67,1325,5
68,1183,5
68,182,5
68,8,2
69,8,4
69,167,3
69,19,3
69,530,3
69,14,5
70,8,4
70,1684,4
70,160,5
70,14,5
70,1197,5
70,417,4
71,186,3
71,172,3
71,8,5
71,23,3
71,17,5
72,8,4
72,17,5
73,8,4
73,18,4
74,18,3
74,8,3
75,18,2
75,8,5
76,1653,5
76,909,5
76,18,3
77,18,3
77,909,5
78,909,5
78,18,5
79,18,5
79,909,5
79,492,5
80,909,5
80,18,5
81,19,5
81,909,5
81,319,5
82,19,4
83,19,5
84,19,5
85,19,4
85,1791,4
85,563,4
85,567,5
86,19,5
87,227,5
87,19,5
87,200,4
87,90,4
87,1668,4
88,90,5
88,227,5
88,19,5
89,22,5
90,26,5
90,789,5
90,65,5
91,789,5
91,26,5
91,65,5
92,789,5
92,26,4
92,65,5
93,65,4
93,789,4
93,26,5
94,26,5
94,789,5
94,65,5
95,65,5
95,454,5
95,789,5
95,26,5
95,1004,5
95,603,5
96,26,5
96,789,5
96,65,5
97,789,5
97,26,5
97,65,5
98,942,5
98,27,4
98,535,5
99,27,5
100,27,5
101,27,4
102,27,4
103,58,5
103,1842,5
103,27,5
104,27,3
105,31,5
106,31,1
106,544,5
107,35,5
108,35,5
108,474,5
108,606,5
109,35,5
110,35,2
111,35,5
112,20,4
112,35,5
112,131,4
113,20,5
113,35,3
114,35,4
114,20,5
115,20,5
115,654,3
115,44,5
116,140,4
116,96,4
116,44,4
116,20,5
116,219,5
116,481,4
117,20,4
117,44,5
118,44,5
118,594,5
118,985,4
119,510,5
119,44,4
119,985,4
119,466,4
120,985,5
120,44,5
121,798,5
121,44,5
121,985,4
122,802,5
122,46,5
122,508,5
122,985,4
123,46,5
123,985,4
124,270,5
124,46,4
124,132,5
124,985,2
125,985,5
125,516,5
125,416,5
125,46,4
126,46,4
126,1537,5
127,46,5
127,1537,5
128,1537,3
128,46,5
129,46,5
129,1537,4
130,1537,5
130,49,5
131,49,5
131,1537,5
132,49,5
132,1537,5
133,49,4
133,1537,5
134,49,5
135,51,5
