user_id,place_id,rating
9,6175,5
10,6175,5
11,6175,5
12,6175,5
13,6175,4
14,6175,5
15,6175,5
16,6175,5
17,6112,5
18,6112,5
19,6112,5
20,6112,5
21,6112,4
22,6112,5
23,6112,5
24,6112,5
25,6276,5
26,6276,4
27,6276,5
16,6276,5
28,6276,5
29,6276,5
30,6276,5
31,6276,5
32,6148,2
33,6148,4
34,6148,5
35,6148,5
36,6148,5
37,6148,4
38,6148,5
39,6148,4
16,6151,5
40,6151,5
41,6151,5
42,6151,5
43,6151,5
44,6151,5
45,6151,5
46,6151,5
47,359,1
48,359,5
49,359,5
50,359,3
51,359,3
52,359,5
53,359,5
54,359,5
16,11,5
55,11,4
56,11,2
57,11,5
58,11,5
59,11,5
60,11,4
51,11,4
16,6186,5
61,6186,4
62,6186,5
63,6186,5
64,6186,2
65,6186,5
66,6186,5
67,6186,5
68,8,2
69,8,4
70,8,4
71,8,5
72,8,4
73,8,4
74,8,3
75,8,5
76,6198,5
77,6198,5
78,6198,5
7,6198,5
79,6198,5
80,6198,5
16,6198,5
81,6198,5
82,6204,4
83,6204,5
84,6204,4
85,6204,4
86,6204,5
87,6204,5
88,6204,4
89,6204,4
90,65,5
91,65,5
92,65,5
93,65,4
94,65,5
95,65,5
96,65,5
97,65,5
78,6215,5
7,6215,5
98,6215,5
99,6215,5
100,6215,5
101,6215,5
102,6215,5
103,6215,5
104,6405,5
105,6405,5
106,6405,5
107,6405,5
108,6405,5
109,6405,5
110,6405,5
111,6405,5
25,6223,5
112,6223,4
113,6223,5
114,6223,5
115,6223,5
116,6223,5
117,6223,4
16,6223,5
118,6120,4
119,6120,4
120,6120,5
121,6120,4
122,6120,4
123,6120,4
124,6120,2
125,6120,5
126,6129,5
127,6129,5
128,6129,3
129,6129,4
130,6129,5
131,6129,5
132,6129,5
133,6129,5
134,6131,4
135,6131,5
136,6131,5
137,6131,5
138,6131,4
139,6131,5
140,6131,5
141,6131,4
142,6140,5
16,6140,5
143,6140,5
144,6140,3
145,6140,5
146,6140,5
147,6140,5
148,6140,5
149,29,5
150,29,5
151,29,5
152,29,5
153,29,5
154,29,5
155,29,5
156,29,5
149,29,5
150,29,5
151,29,5
152,29,5
153,29,5
154,29,5
155,29,5
156,29,5
157,6147,5
158,6147,5
159,6147,5
160,6147,4
161,6147,5
162,6147,5
163,6147,5
164,6147,3
165,6150,4
166,6150,5
167,6150,5
168,6150,5
169,6150,5
170,6150,5
171,6150,5
172,6150,5
173,6173,5
174,6173,5
175,6173,5
176,6173,5
177,6173,5
178,6173,5
179,6173,5
180,6173,5
9,6175,5
10,6175,5
11,6175,5
12,6175,5
13,6175,4
14,6175,5
15,6175,5
16,6175,5
181,6181,5
182,6181,4
183,6181,5
184,6181,4
185,6181,4
186,6181,4
187,6181,4
188,6181,5
175,292,4
189,292,4
139,292,4
190,292,5
191,292,4
192,292,5
193,292,5
194,292,4
195,6199,4
196,6199,5
197,6199,5
198,6199,5
199,6199,5
200,6199,5
201,6199,5
202,6199,5
203,6203,4
204,6203,4
205,6203,4
206,6203,4
207,6203,4
208,6203,5
209,6203,4
210,6203,4
211,6209,5
212,6209,5
213,6209,5
159,6209,5
214,6209,4
215,6209,4
216,6209,4
217,6209,4
218,6216,5
219,6216,5
220,6216,5
221,6216,5
222,6216,5
223,6216,5
224,6216,4
225,6216,5
226,6217,3
227,6217,3
26,6217,4
228,6217,5
229,6217,5
82,6217,5
230,6217,4
35,6217,5
231,6224,5
87,6224,4
232,6224,5
233,6224,5
234,6224,5
235,6224,4
236,6224,5
88,6224,5
237,6226,5
238,6226,5
239,6226,1
240,6226,4
241,6226,4
242,6226,4
243,6226,5
244,6226,5
245,6232,3
246,6232,4
247,6232,5
248,6232,5
249,6232,2
250,6232,3
251,6232,4
252,6232,4
253,13,3
254,13,1
255,13,3
256,13,4
257,13,5
258,13,1
259,13,2
260,13,4
261,6242,5
87,6242,4
262,6242,5
16,6242,5
263,6242,5
264,6242,3
265,6242,3
58,6242,4
9,6246,5
10,6246,5
11,6246,5
12,6246,5
13,6246,4
14,6246,5
15,6246,5
16,6246,5
87,6248,5
266,6248,4
267,6248,5
268,6248,4
269,6248,5
270,6248,5
88,6248,5
271,6248,3
87,6266,5
272,6266,4
33,6268,5
273,6268,5
274,6268,5
275,6268,5
276,6268,2
277,6268,5
278,6268,4
279,6268,5
280,6273,5
281,6273,5
282,6273,5
283,6273,4
284,6273,5
285,6273,5
44,6273,5
286,6273,3
287,6275,5
288,6275,5
289,6275,5
290,6275,5
291,6275,5
159,6275,5
292,6275,5
293,6275,5
25,6276,5
26,6276,4
27,6276,5
16,6276,5
28,6276,5
29,6276,5
30,6276,5
31,6276,5
90,65,5
91,65,5
92,65,5
93,65,4
94,65,5
95,65,5
96,65,5
97,65,5
294,6284,5
295,6284,5
296,6284,5
297,6284,5
298,6284,5
299,6284,4
300,6284,1
301,6284,4
12,6287,4
302,6287,5
303,6287,5
304,6287,5
305,6287,5
306,6287,3
307,6287,4
308,6287,5
309,6297,5
310,6297,5
311,6297,2
312,6297,5
313,6297,4
314,6297,5
315,6297,5
316,6297,5
317,6298,5
318,6298,4
319,6298,5
320,6298,4
321,6298,5
322,6298,4
323,6298,5
324,6298,4
325,6300,5
12,6300,4
326,6300,5
327,6300,4
328,6300,5
329,6300,5
330,6300,5
331,6300,5
121,6301,5
332,6301,5
333,6301,5
334,6301,5
335,6301,5
336,6301,3
337,6301,4
338,6301,4
339,6315,5
340,6317,5
341,6317,5
342,6317,5
343,6317,5
344,6317,5
345,6317,5
346,6317,5
347,6317,4
348,6319,3
349,6319,4
350,6319,3
351,6319,3
352,6319,4
353,6319,4
354,6319,4
355,6319,4
356,3334,5
357,3334,5
358,3334,5
359,3334,5
360,3334,5
361,3334,5
362,3334,4
363,3334,5
237,6324,5
238,6324,5
239,6324,1
240,6324,4
241,6324,4
242,6324,4
243,6324,5
244,6324,5
364,6327,5
365,6327,5
366,6328,5
367,6328,3
368,6328,3
369,6331,5
370,6331,5
371,6331,5
372,6331,1
373,6331,3
374,6331,4
375,6331,4
376,6331,5
377,6333,4
378,6333,4
379,6333,4
380,6333,3
381,6333,4
243,6333,4
382,6333,3
383,6333,5
76,6334,4
384,6334,1
69,6341,5
16,6341,5
385,6341,5
386,6341,5
387,6341,5
388,6341,3
389,6341,5
390,6341,5
391,6374,5
392,6374,5
393,6374,4
394,6374,5
395,6374,3
396,6374,5
397,6374,5
398,6374,5
399,6402,5
400,6402,5
401,6402,5
402,6402,5
403,6402,5
404,6402,4
405,6402,5
406,6402,5
16,6411,5
40,6411,5
41,6411,5
42,6411,5
43,6411,5
44,6411,5
45,6411,5
46,6411,5
407,6412,5
17,6412,5
408,6412,5
409,6412,5
223,6412,5
410,6412,5
411,6412,5
303,6412,5
412,6413,4
413,6413,2
